Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Tena, EC-NA, EC;-0,987246156;-77,82853699;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,99271615;-77,81497573;Apidae;Xylocopa similis
Unnamed Road, Ecuador;-0,988286483;-77,82921359;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,988488376;-77,82888794;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,987368824;-77,8278096;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,978288536;-77,85336468;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,988386667;-77,82951333;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,988478333;-77,82923;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,988375;-77,829545;Apidae;Apis mellifera
Unidad Educativa Fiscomicional San JosÃ© , Tena, Ecuador;-0,9858585;-77,83154297;Apidae;Apis mellifera
calles Beto y ayahuasca, Tena, Ecuador;-0,9843511;-77,8181541;Apidae;Apis mellifera
Unnamed Road, Tena, Ecuador;-0,986407101;-77,82189941;Apidae;Apis mellifera
Calle Teniente Hugo OrtÃ­z, Tena, Ecuador;-0,9924103;-77,8137235;Apidae;Trigona chanchamayoensis
Unnamed Road, Ecuador;-0,988050339;-77,82896966;Apidae;Apis mellifera
Andelmo Rodriguez, Tena, Ecuador;-0,9918266;-77,8127319;Apidae;Apis mellifera
Av. Francisco de Orellana, Tena, Ecuador;-0,993243326;-77,81562399;Apidae;Xylocopa similis
Quito, Quito, Pichincha, EC;-0,1763;-78,42843667;Apidae;Apis mellifera
Av. 15 de Noviembre 349, Tena, Ecuador;-0,9901658;-77,8153711;Apidae;Xylocopa similis
Tena, EC-NA, EC;-0,99269509;-77,81506727;Apidae;Xylocopa similis
Tena, Tena, Napo, EC;-1,037844868;-77,79285049;Apidae;Apis mellifera
Tena, EC-NA, EC;-0,992701667;-77,814955;Apidae;Xylocopa similis
Tena, EC-NA, EC;-0,987238577;-77,82836339;Apidae;Apis mellifera
Unnamed Road, Ecuador;-0,968529331;-77,81772542;Apidae;Apis mellifera
Calle Teniente Hugo OrtÃ­z, Tena, Ecuador;-0,989886105;-77,81510925;Apidae;Apis mellifera
Calle Tena, Tena, Ecuador;-0,996645865;-77,80997895;Apidae;Apis mellifera
Tena, Tena, Napo, EC;-0,976628764;-77,81327865;Apidae;Trigona chanchamayoensis
TererÃ©, Tena, Napo, EC;-0,99022991;-77,80935282;Apidae;Apis mellifera
